afelong,afelat,ATEAMid,abialb,betnan,betpen,betpub,cassat,fagsyl,ileaqu,juncomm,junoxy,lardec,picabi,pinhal,pinsyl,quecoc,queile,quepub,querob
16.583,44.916,1628,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0
16.596,45.366,1629,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
16.716,66.93,1630,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
16.609,45.816,1631,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
16.622,46.266,1632,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
16.635,46.715,1633,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1
16.649,47.165,1634,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1
16.663,47.615,1635,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1
16.678,48.064,1636,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1
16.692,48.514,1637,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
16.748,67.379,1638,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
16.708,48.964,1639,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1
16.781,67.827,1640,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
16.79,51.211,1641,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
16.723,49.413,1642,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1
16.807,51.66,1643,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
16.739,49.863,1644,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
